name,type,etc,etc2,longitude,latitude,joindate,outdate
안내도,안내판,224098.18,545866.06,127.2725686,37.51195663,12/31/2015 12:30:00 PM,
쉼터,쉼터,221001.46,548252.62,127.2376108,37.53353505,12/29/2015 12:38:00 PM,
쉼터,쉼터,221939.79,546864.43,127.2481856,37.52100571,12/24/2015 01:55:00 PM,
쉼터,쉼터,222097.6,545688.37,127.2499354,37.5104057,12/30/2015 03:14:19 PM,
팔각정자,쉼터,197265.08,593538.33,126.9688867,37.94178051,12/22/2015 03:24:00 PM,
이정표,안내판,195618.83,593130.83,126.9501609,37.93810274,12/27/2015 08:48:00 AM,
안내판,안내판,196220.07,593338.96,126.9569993,37.93998056,12/22/2015 09:27:03 AM,
이정표,안내판,196277.13,593551.02,126.9576474,37.94189133,01/05/2016 09:18:00 AM,
안내판,안내판,196357.33,593589.33,126.9585595,37.9422368,01/04/2016 11:38:00 AM,
이정표,안내판,196362.71,593601.49,126.9586207,37.94234638,01/05/2016 11:07:46 AM,
안내판,안내판,196567.33,593602.58,126.9609485,37.94235699,12/31/2015 11:32:00 PM,
